,age,income,frq,rcn,mnt,clothes,kitchen,small_appliances,toys,house_keeping,dependents,per_net_purchase,gender,education,status,description
5512,1990,29273,10,81,42,12,4,18,32,34,1,59,M,1st Cycle,Married,Kind of OK
5513,1938,110341,27,93,1145,46,30,17,4,3,1,32,M,2nd Cycle,Married,OK nice!
5514,1993,30560,8,88,34,2,12,36,16,34,0,56,M,2nd Cycle,Married,OK nice!
5515,1986,26013,9,63,25,38,3,31,10,17,1,63,M,Graduation,Married,OK nice!
5516,1946,105712,37,96,1731,41,8,29,8,14,0,19,F,Graduation,Married,OK nice!
5517,1975,61294,11,47,89,63,1,34,0,2,1,56,F,Graduation,Together,OK nice!
5518,1949,104085,29,85,1338,47,11,25,7,10,0,14,F,Master,Widow,Take my money!!
5519,1993,10000,11,100,33,18,8,24,33,16,1,59,F,2nd Cycle,Single,OK nice!
5520,1950,111970,52,26,2350,76,2,19,3,1,1,41,M,Graduation,Divorced,OK nice!
5521,1994,25005,9,1,25,5,29,16,32,18,1,57,M,1st Cycle,Single,Kind of OK
5522,1957,66412,20,93,486,63,2,24,5,7,1,45,F,Master,Single,Kind of OK
5523,1963,73011,6,44,41,82,2,11,2,3,1,52,M,Graduation,Married,Kind of OK
5524,1955,92929,29,98,1084,48,13,30,7,2,1,26,M,Graduation,Married,Take my money!!
5525,1991,27836,8,64,21,15,15,55,8,8,1,52,M,Graduation,Single,Meh...
5526,1962,72696,12,31,188,92,0,7,0,1,1,44,F,Master,Married,OK nice!
5527,1946,105451,29,75,1269,23,8,59,7,3,0,18,F,Graduation,Together,OK nice!
5528,1960,81948,33,49,1079,89,1,9,0,1,1,57,F,Graduation,Married,OK nice!
5529,1945,98267,31,68,1083,69,9,17,3,2,0,54,F,Graduation,Married,Take my money!!
5530,1992,24497,12,41,46,12,25,29,21,13,0,73,M,Graduation,Married,Meh...
5531,1944,98304,16,41,546,14,10,44,13,19,0,17,M,1st Cycle,Married,Meh...
5532,1967,81377,36,65,1399,86,0,12,1,1,1,44,M,Graduation,Divorced,OK nice!
5533,1951,94438,15,87,393,36,18,27,14,5,1,36,M,1st Cycle,Together,Meh...
5534,1961,79380,19,77,431,91,0,8,0,0,1,57,F,Master,Married,Meh...
5535,1979,30903,8,85,36,55,3,31,0,11,1,49,M,Master,Married,OK nice!
5536,1985,31779,7,36,23,40,26,28,1,5,1,53,M,Graduation,Together,Meh...
5537,1963,74588,38,63,1473,80,2,15,2,1,1,62,M,2nd Cycle,Divorced,Take my money!!
5538,1978,50478,10,75,36,63,4,24,5,4,1,67,M,Graduation,Married,Meh...
5539,1995,21496,9,80,37,7,8,16,35,34,0,51,M,1st Cycle,Single,OK nice!
5540,1995,25303,10,41,23,9,36,7,14,34,1,69,M,1st Cycle,Widow,Meh...
5541,1953,79361,37,38,1600,33,5,43,3,16,0,23,M,Graduation,Married,Take my money!!
5542,1965,84282,22,57,491,79,2,14,2,3,1,60,F,Graduation,Together,Meh...
5543,1972,59145,7,19,45,46,2,32,12,8,1,45,F,Graduation,Married,Meh...
5544,1989,57483,7,281,16,17,8,49,26,0,1,69,F,Graduation,Single,Kind of OK
5545,1980,54605,9,47,41,42,0,45,5,7,1,59,M,Graduation,Married,OK nice!
5546,1953,95066,20,15,653,70,5,17,4,3,1,26,M,Graduation,Single,Meh...
5547,1989,24225,9,140,16,61,1,36,0,2,1,63,F,Master,,OK nice!
5548,1940,101960,30,96,1348,15,30,27,2,26,0,16,F,1st Cycle,Married,Take my money!!
5549,1938,112419,42,11,2041,50,3,43,2,1,0,13,M,Graduation,Single,OK nice!
5550,1990,35814,16,51,187,13,13,68,2,5,1,69,M,Graduation,Single,OK nice!
5551,1976,29467,12,94,66,34,14,37,13,2,1,62,M,2nd Cycle,Together,Meh...
5552,1952,105091,24,62,955,36,14,23,6,21,1,29,M,1st Cycle,Widow,Kind of OK
5553,1939,115517,36,4,1734,33,5,45,4,13,0,16,F,Graduation,Together,OK nice!
5554,1940,131771,53,61,2703,59,4,18,7,12,0,12,M,Graduation,Divorced,Take my money!!
5555,1979,49878,6,7,15,87,1,11,0,1,1,43,M,Graduation,Single,Kind of OK
5556,1985,47898,7,56,29,31,2,49,6,12,1,59,M,Graduation,Divorced,Kind of OK
5557,1961,56324,10,34,53,92,1,5,1,1,1,61,M,Graduation,Single,Meh...
5558,1939,112890,48,44,2286,61,3,26,7,4,0,19,F,Graduation,Divorced,OK nice!
5559,1960,79134,12,24,121,75,2,18,1,4,1,65,M,2nd Cycle,Together,OK nice!
5560,1941,116334,39,9,1979,15,15,49,10,10,0,8,M,2nd Cycle,Divorced,Take my money!!
5561,1937,,40,34,1667,59,6,19,9,7,1,43,M,Graduation,Widow,Take my money!!
5562,1984,,10,72,66,55,1,38,3,2,1,51,M,Master,Single,Meh...
5563,1982,69532,29,57,835,49,3,45,2,2,1,61,M,Graduation,Single,Take my money!!
5564,1983,39951,12,51,55,38,9,42,9,1,1,69,M,Graduation,Married,Meh...
5565,1984,41009,9,20,41,38,7,46,9,1,1,56,F,Graduation,Single,Kind of OK
5566,1969,57508,6,260,19,28,4,43,13,12,1,49,F,2nd Cycle,Married,Kind of OK
5567,1963,61432,6,3,41,76,1,18,2,3,1,41,M,Graduation,Married,Meh...
5568,1963,60054,10,55,84,86,2,10,1,1,1,50,F,Graduation,Single,Meh...
5569,1987,33667,13,87,57,16,7,49,21,7,1,77,M,2nd Cycle,Together,Kind of OK
5570,1981,53491,10,25,42,52,8,30,2,8,,65,F,Graduation,Single,Kind of OK
5571,1949,84044,25,82,1022,19,6,47,17,11,0,13,F,2nd Cycle,Widow,OK nice!
5572,1981,36558,10,81,42,50,9,26,4,11,,54,F,Graduation,Together,OK nice!
5573,1938,120044,45,1,2352,50,2,27,4,16,0,8,M,Graduation,Married,OK nice!
5574,1941,115757,36,61,1788,22,13,38,18,9,0,14,F,Graduation,Divorced,Take my money!!
5575,1988,35427,11,54,47,63,4,26,2,5,1,56,M,Graduation,Single,Meh...
5576,1949,105941,36,12,1663,34,25,33,3,5,0,15,M,Graduation,Widow,Take my money!!
5577,1948,102611,31,76,1398,39,13,33,14,1,0,14,F,2nd Cycle,Married,Take my money!!
5578,1979,62899,16,81,220,76,1,20,2,1,1,52,M,Graduation,Single,Kind of OK
5579,1950,90879,33,26,1478,43,4,38,8,8,1,17,M,Graduation,Married,Take my money!!
5580,1994,22699,11,84,44,11,20,23,21,25,1,62,F,1st Cycle,Single,OK nice!
5581,1975,71524,27,2,714,60,1,31,0,8,1,64,M,2nd Cycle,Together,Take my money!!
5582,1989,33517,9,44,37,17,4,57,0,22,1,55,F,Graduation,Single,OK nice!
5583,1945,81271,15,14,483,47,1,32,10,9,0,13,F,Graduation,Married,OK nice!
5584,1941,116779,33,90,1471,46,8,36,3,7,0,24,M,Graduation,Together,Take my money!!
5585,1976,51053,10,93,63,35,4,51,6,4,,48,M,Graduation,Married,Kind of OK
5586,1967,70916,14,66,255,83,1,12,2,3,1,45,F,2nd Cycle,Married,Meh...
5587,1973,53525,13,20,117,75,4,18,0,2,1,52,F,2nd Cycle,Married,Meh...
5588,1951,107181,33,5,1404,40,11,27,2,20,0,26,M,Graduation,Single,Take my money!!
5589,1994,40053,8,80,20,10,30,25,30,5,1,62,M,1st Cycle,Together,OK nice!
5590,1992,34245,8,84,48,9,27,33,22,8,1,47,F,Graduation,Single,OK nice!
5591,1954,97464,28,22,956,65,4,22,2,7,1,45,M,1st Cycle,Married,OK nice!
5592,1988,47024,16,1,219,45,16,35,1,3,1,64,M,Graduation,,Meh...
5593,1969,44230,8,1,66,90,1,7,1,2,0,49,M,Graduation,Married,Kind of OK
5594,1961,58191,7,349,17,84,1,14,1,0,1,52,M,Graduation,Together,Kind of OK
5595,1963,73811,10,77,120,77,1,20,1,2,1,49,M,Master,Married,OK nice!
5596,1970,68457,30,74,961,71,0,26,2,0,1,48,F,Graduation,Single,Take my money!!
5597,1986,33122,10,46,38,56,8,23,10,3,0,61,M,Master,Single,Kind of OK
5598,1983,60050,8,98,41,34,3,48,7,8,1,66,M,Master,Divorced,OK nice!
5599,1985,33595,12,71,119,62,8,18,4,7,1,40,F,Graduation,Together,Meh...
5600,1985,36340,9,3,37,60,3,32,1,4,1,56,F,Graduation,Married,OK nice!
5601,1973,63572,20,62,385,72,4,18,4,2,1,63,M,2nd Cycle,Single,OK nice!
5602,1952,94088,21,4,719,53,4,30,9,4,1,31,M,Graduation,Married,Meh...
5603,1962,73626,16,69,306,36,19,33,0,12,1,46,F,2nd Cycle,Married,Meh...
5604,1952,101203,22,50,773,44,14,24,13,5,1,32,F,Graduation,Married,Meh...
5605,1959,80651,29,61,1013,48,6,40,1,6,1,38,F,Master,Together,OK nice!
5606,1979,41447,10,79,34,49,7,35,7,1,1,68,M,1st Cycle,Married,Meh...
5607,1955,99439,12,7,302,62,4,26,1,7,1,35,F,Graduation,Single,OK nice!
5608,1957,95188,24,50,885,38,14,31,4,14,1,28,F,Graduation,Married,OK nice!
5609,1966,81704,12,87,151,74,2,19,1,4,1,56,M,Graduation,Together,OK nice!
5610,1938,123502,37,3,1796,59,2,31,5,4,0,19,F,Master,Married,Take my money!!
5611,1948,96289,31,93,1407,58,3,32,3,4,0,12,F,Graduation,Married,OK nice!
5612,1957,66639,12,79,180,58,1,30,6,5,1,39,M,Graduation,Single,OK nice!
5613,1937,109559,38,13,1860,55,5,35,2,3,0,13,M,Master,Married,Take my money!!
5614,1966,74478,26,67,777,95,0,4,0,1,1,42,F,Graduation,Married,Take my money!!
5615,1952,75209,20,56,591,50,4,26,4,16,1,30,M,Graduation,Together,Meh...
5616,1965,80277,23,13,596,82,4,12,2,0,1,51,F,Graduation,Married,Kind of OK
5617,1950,95084,35,41,1469,72,3,21,3,2,1,25,F,Graduation,Single,Take my money!!
5618,1958,63137,13,93,222,83,1,9,3,4,1,30,M,Graduation,Married,Kind of OK
5619,1963,66222,36,35,1343,88,2,9,1,1,,54,F,PhD,Widow,Take my money!!
5620,1947,88011,24,3,953,33,4,44,13,6,0,12,M,1st Cycle,Widow,OK nice!
5621,1988,41926,10,2,34,44,7,26,19,4,1,75,M,1st Cycle,Married,OK nice!
5622,1994,25087,13,22,47,17,2,29,49,3,1,73,F,1st Cycle,Single,Meh...
5623,1974,72859,19,84,387,71,6,20,2,2,1,52,F,Graduation,Together,Kind of OK
5624,1956,65689,24,77,718,89,0,10,0,1,0,34,M,Graduation,Together,OK nice!
5625,1965,77897,17,43,386,62,4,27,5,2,1,56,M,Graduation,Together,Meh...
5626,1943,109054,30,69,1411,39,2,43,9,7,0,17,F,Graduation,Married,OK nice!
5627,1965,92766,27,27,769,95,0,4,0,0,1,61,M,Master,Married,Take my money!!
5628,1980,54535,11,48,117,11,11,74,4,1,1,58,F,Graduation,Married,Meh...
5629,1948,100647,29,83,1345,54,1,42,1,2,0,7,M,Graduation,Married,Take my money!!
5630,1951,101339,45,72,2048,48,1,19,9,24,0,34,M,2nd Cycle,Married,Take my money!!
5631,1952,83822,18,14,591,63,3,30,4,0,0,25,M,Master,Together,OK nice!
5632,1961,66184,8,90,18,85,1,13,0,1,1,68,M,Graduation,Married,Meh...
5633,1977,64454,12,35,220,73,1,24,1,1,1,43,F,Graduation,Married,OK nice!
5634,1937,95827,27,4,1207,29,5,43,11,12,0,16,M,Graduation,Together,OK nice!
5635,1948,110251,40,13,1981,40,6,46,5,3,,10,M,Graduation,Married,Take my money!!
5636,1979,57380,12,81,117,61,0,31,2,6,1,54,M,2nd Cycle,Married,OK nice!
5637,1964,77578,29,10,836,83,0,12,3,1,1,73,F,Graduation,Married,Take my money!!
5638,1989,34887,10,30,44,35,4,51,8,2,1,60,M,Master,Single,Kind of OK
5639,1995,47729,17,94,264,17,5,30,26,22,1,65,F,1st Cycle,Single,Meh...
5640,1969,64790,28,9,836,91,0,8,0,0,1,42,F,Graduation,Together,Take my money!!
5641,1976,65058,6,97,42,60,2,28,7,2,1,43,F,2nd Cycle,Married,OK nice!
5642,1995,29250,8,71,26,2,19,31,2,46,0,60,M,1st Cycle,Married,Meh...
5643,1938,94412,28,25,1269,20,13,40,26,1,0,12,M,1st Cycle,Together,Take my money!!
5644,1955,67737,16,83,433,46,6,35,5,7,1,28,F,Graduation,Together,Kind of OK
5645,1946,96759,21,67,833,33,10,26,14,17,0,19,M,2nd Cycle,Married,Kind of OK
5646,1974,50027,5,542,12,57,2,39,1,1,1,47,M,Master,Together,Kind of OK
5647,1941,108399,31,17,1210,83,1,12,2,1,1,37,F,Master,Married,Take my money!!
5648,1981,54179,9,45,45,38,0,54,1,6,1,48,M,Master,Together,Kind of OK
5649,1965,81502,23,15,594,92,0,6,1,1,1,61,M,Graduation,Married,Kind of OK
5650,1978,44554,11,53,60,68,1,22,7,2,1,54,F,1st Cycle,Divorced,Kind of OK
5651,1980,51633,14,60,184,22,14,37,10,17,1,60,M,Graduation,Single,Kind of OK
5652,1969,52863,7,343,19,87,1,9,2,1,1,53,M,Graduation,Divorced,OK nice!
5653,1977,59985,15,26,253,39,0,42,15,4,1,52,M,2nd Cycle,Married,OK nice!
5654,1994,23867,8,188,11,11,34,24,7,25,1,57,M,1st Cycle,Together,Kind of OK
5655,1966,73317,12,4,215,20,8,38,15,18,1,46,F,2nd Cycle,Single,Meh...
5656,1963,81333,34,15,1273,87,0,12,1,0,0,50,M,Master,Single,OK nice!
5657,1957,69589,23,29,600,49,6,29,7,10,1,41,M,Graduation,Together,OK nice!
5658,1952,91096,33,72,1406,75,4,14,1,6,0,24,M,2nd Cycle,Divorced,OK nice!
5659,1943,90162,34,56,1348,60,0,27,5,8,0,45,F,Graduation,Widow,OK nice!
5660,1995,45926,28,92,763,30,16,16,21,17,0,60,M,1st Cycle,Single,Take my money!!
5661,1944,101652,28,29,1219,17,6,54,3,20,0,14,M,Graduation,Married,OK nice!
5662,1976,28340,9,56,59,50,1,43,3,4,1,42,M,Graduation,Married,Kind of OK
5663,1989,24756,9,62,21,42,2,51,3,2,1,59,F,Graduation,Single,OK nice!
5664,1955,99822,31,2,1349,70,2,22,3,3,0,24,F,Master,Married,Take my money!!
5665,1978,49841,9,52,24,84,0,15,0,0,1,64,F,Graduation,Married,Kind of OK
5666,1985,45704,10,44,72,49,1,45,4,1,,51,F,Graduation,Together,Kind of OK
5667,1979,47605,8,54,66,46,14,19,3,18,1,41,M,2nd Cycle,Single,Kind of OK
5668,1989,15459,10,83,44,49,8,34,0,9,1,53,M,Graduation,Single,OK nice!
5669,1995,39210,14,57,118,8,5,21,16,50,1,69,F,1st Cycle,Together,Meh...
5670,1995,30949,11,16,64,6,3,18,34,39,0,58,F,1st Cycle,Together,Kind of OK
5671,1977,51297,12,61,149,70,3,23,1,3,1,48,M,Graduation,Married,Kind of OK
5672,1988,46772,12,38,153,47,14,29,1,9,0,48,M,Graduation,Together,Meh...
5673,1996,26054,13,48,91,7,8,12,46,27,1,58,M,1st Cycle,Single,Meh...
5674,1940,106990,27,21,1218,57,1,33,8,1,0,15,M,PhD,Married,OK nice!
5675,1987,15377,8,485,8,58,6,31,1,4,1,68,M,Graduation,,OK nice!
5676,1946,103566,36,41,1474,68,4,24,3,1,1,44,M,Master,Widow,Take my money!!
5677,1970,60073,9,9,46,43,4,43,2,8,1,55,F,1st Cycle,Married,Kind of OK
5678,1976,48897,16,99,217,32,4,56,5,3,0,52,M,2nd Cycle,Married,Meh...
5679,1942,92742,31,47,1345,45,2,47,3,3,0,14,F,Graduation,Married,Take my money!!
5680,1993,30363,6,59,28,18,19,26,17,20,1,40,M,2nd Cycle,Together,Meh...
5681,1944,99463,29,32,1276,55,3,38,1,2,0,19,F,Master,Single,Take my money!!
5682,1978,55529,15,50,181,61,2,35,1,0,1,58,M,Graduation,Single,Kind of OK
5683,1962,79999,33,57,1279,82,0,17,0,0,1,39,M,Master,Together,Take my money!!
5684,1951,95096,28,57,1077,70,4,21,5,1,1,32,M,Master,,OK nice!
5685,1959,99621,27,92,1027,13,26,41,1,19,1,30,M,Graduation,Whatever,OK nice!
5686,1968,51671,14,16,186,86,1,10,1,1,1,47,F,PhD,Single,Kind of OK
5687,1951,88242,31,5,1027,78,2,16,3,1,1,54,F,Graduation,Married,OK nice!
5688,1941,106311,22,72,895,64,1,26,2,7,0,20,M,Graduation,Married,Kind of OK
5689,1992,13660,8,32,28,15,26,28,16,16,1,46,M,Graduation,Single,OK nice!
5690,1966,69037,18,12,341,59,5,30,4,3,1,64,M,2nd Cycle,Married,Meh...
5691,1985,29857,11,49,44,40,6,45,2,7,1,65,M,Master,Together,Kind of OK
5692,1984,47732,10,50,40,13,22,55,5,5,1,62,M,2nd Cycle,Together,Kind of OK
5693,1942,107890,42,79,2042,23,9,45,15,8,0,15,F,1st Cycle,Widow,OK nice!
5694,1958,72782,7,77,150,53,6,16,21,4,1,20,M,Graduation,Single,Kind of OK
5695,1937,132540,54,90,2704,42,6,46,2,3,0,22,F,Graduation,Together,Take my money!!
5696,1977,42740,11,89,83,68,4,8,10,10,1,47,M,1st Cycle,Married,OK nice!
5697,1949,82310,22,19,886,22,15,27,22,14,0,10,M,1st Cycle,Single,Meh...
5698,1976,45478,5,139,19,50,6,29,8,7,1,35,M,Graduation,Married,Horrible
5699,1973,52331,8,28,80,41,15,30,12,2,1,35,M,Graduation,Married,OK nice!
5700,1950,86145,30,88,1143,48,12,24,10,6,1,28,F,2nd Cycle,Together,Take my money!!
5701,1970,61363,20,78,390,78,2,19,0,1,1,65,M,Master,Divorced,Kind of OK
5702,1992,28127,11,64,52,18,12,31,25,14,1,68,M,Graduation,Single,Kind of OK
5703,1938,108402,33,23,1469,42,2,44,7,4,0,26,F,Graduation,Married,Take my money!!
5704,1944,117030,55,38,2527,69,3,24,1,3,0,38,M,2nd Cycle,Together,Take my money!!
5705,1937,96468,37,97,1724,69,1,23,1,6,0,21,M,PhD,Widow,Take my money!!
5706,1936,128536,59,82,3052,77,0,22,0,1,0,13,M,PhD,Together,Take my money!!
5707,1947,84437,15,25,303,71,3,22,1,3,1,57,M,Graduation,Together,Meh...
5708,1971,74791,22,72,494,74,1,23,0,2,1,58,F,Master,Single,Meh...
5709,1987,30244,10,81,42,58,6,26,4,7,1,55,M,Master,Together,Meh...
5710,1957,70175,7,13,72,32,9,47,6,6,,38,M,2nd Cycle,Together,OK nice!
5711,1995,21042,12,25,44,5,23,26,21,25,0,67,M,1st Cycle,Single,Kind of OK
5712,1987,59064,13,52,122,61,1,32,4,2,1,71,M,Master,Single,Kind of OK
5713,1995,21352,10,60,30,8,11,18,47,16,1,57,M,1st Cycle,Married,Meh...
5714,1992,26906,12,27,118,16,36,21,10,17,0,46,M,Graduation,Single,OK nice!
5715,1973,59895,14,70,185,68,1,29,1,0,1,51,M,Graduation,Married,Meh...
5716,1988,38996,10,14,40,85,0,13,1,1,1,61,M,PhD,Married,Kind of OK
5717,1975,67110,16,26,257,82,1,15,1,1,1,54,M,Graduation,Married,Kind of OK
5718,1970,51547,11,54,62,87,0,12,1,0,1,59,M,PhD,Married,Kind of OK
5719,1995,29810,7,63,28,9,23,22,17,29,1,40,F,1st Cycle,Single,OK nice!
5720,1962,73194,10,22,122,86,1,9,1,2,,54,M,Graduation,Single,Meh...
5721,1985,48842,16,85,188,29,3,53,8,7,1,61,M,2nd Cycle,Married,OK nice!
5722,1994,20533,9,337,13,11,18,42,25,4,1,69,M,1st Cycle,Single,Meh...
5723,1996,34371,6,262,14,19,45,5,19,12,1,47,M,1st Cycle,Single,Meh...
5724,1946,95116,26,18,1077,10,27,42,19,2,0,17,M,OldSchool,Married,Take my money!!
5725,1962,82578,30,30,961,66,8,22,3,2,1,60,M,2nd Cycle,Married,Take my money!!
5726,1964,80755,26,19,713,80,1,17,1,1,1,52,M,Master,Divorced,OK nice!
5727,1948,98152,28,21,1141,29,1,54,5,11,,22,F,Graduation,Widow,OK nice!
5728,1972,56850,15,94,341,41,11,42,3,3,0,31,M,Graduation,Married,Meh...
5729,1989,42429,12,33,67,46,9,20,13,13,1,52,M,Graduation,Single,OK nice!
5730,1978,41103,7,16,47,35,25,34,4,2,1,35,M,Graduation,Together,Kind of OK
5731,1945,114925,43,82,2110,46,8,37,4,5,0,14,F,Graduation,Married,OK nice!
5732,1980,34487,7,15,50,39,15,26,6,14,1,38,M,Graduation,Married,Meh...
5733,1952,89712,30,21,1210,65,5,16,11,3,0,26,F,Graduation,Married,Take my money!!
5734,1964,61462,12,11,221,33,11,31,23,2,,33,M,Graduation,Married,OK nice!
5735,1989,42290,9,73,35,83,2,10,3,2,1,55,M,Master,Single,OK nice!
5736,1951,92111,39,43,1534,77,7,13,2,2,1,54,M,Master,Married,Take my money!!
5737,1975,57402,18,31,264,80,1,17,2,0,1,74,F,Graduation,Together,OK nice!
5738,1988,38892,7,218,16,43,7,27,14,9,1,49,F,Graduation,Married,Meh...
5739,1992,40200,10,33,47,10,4,43,18,25,0,65,M,Graduation,Together,OK nice!
5740,1985,52100,15,56,147,35,5,34,9,17,1,72,M,2nd Cycle,Married,Meh...
5741,1980,34510,10,317,16,57,10,24,7,2,1,61,M,2nd Cycle,Together,OK nice!
5742,1941,106040,35,64,1665,20,0,49,6,25,0,13,F,Graduation,Together,Take my money!!
5743,1978,59469,17,35,262,64,1,34,0,0,1,63,M,Graduation,Married,OK nice!
5744,1972,33966,9,44,42,75,0,23,1,1,1,44,F,PhD,Together,Kind of OK
5745,1950,81881,33,74,1269,61,3,22,4,10,0,36,M,Graduation,Single,OK nice!
5746,1946,103383,40,31,1986,43,0,49,6,2,0,10,F,Graduation,Together,OK nice!
5747,1975,57567,20,13,386,81,1,16,2,1,1,55,F,Graduation,Married,Kind of OK
5748,1954,86539,23,15,768,28,10,38,10,14,1,35,F,1st Cycle,Single,Meh...
5749,1993,35806,9,13,24,17,9,23,33,18,1,64,F,2nd Cycle,Single,OK nice!
5750,1962,63136,17,70,303,57,4,37,2,0,1,56,M,Graduation,Single,Meh...
5751,1949,90596,21,64,823,39,12,31,9,9,0,15,M,Graduation,Single,Meh...
5752,1974,50976,10,84,88,49,6,32,6,7,1,54,M,2nd Cycle,Together,OK nice!
5753,1937,111771,36,78,1794,50,9,24,8,9,0,10,F,2nd Cycle,Together,OK nice!
5754,1986,34301,9,56,36,25,21,37,12,5,1,66,M,Graduation,Married,OK nice!
5755,1961,94522,35,43,1339,60,4,27,8,1,1,59,F,Graduation,Married,OK nice!
5756,1972,46342,11,91,152,90,1,8,1,0,1,40,F,Graduation,Single,Meh...
5757,1970,56337,14,31,223,57,9,24,6,5,1,41,F,Master,Married,Kind of OK
5758,1947,102402,29,67,1339,11,15,60,2,12,0,14,M,Graduation,Together,OK nice!
5759,1948,85566,34,80,1598,25,3,63,2,7,0,12,M,Graduation,Married,OK nice!
5760,1944,86312,16,33,548,32,10,52,1,4,0,12,F,Master,Married,Kind of OK
5761,1984,50468,14,45,121,59,2,36,2,0,1,66,M,Master,Together,Meh...
5762,1974,61458,9,62,40,30,5,51,7,7,1,65,F,1st Cycle,Together,Kind of OK
5763,1945,107933,42,44,2103,25,7,53,8,7,0,15,F,Graduation,Together,OK nice!
5764,1972,77704,10,70,92,49,3,39,9,1,1,53,M,Master,Single,Kind of OK
5765,1967,92189,19,50,493,91,1,7,1,1,1,55,F,Graduation,Single,Kind of OK
5766,1957,72543,26,89,898,59,3,29,2,7,1,21,M,Graduation,Single,Take my money!!
5767,1968,68921,18,44,384,82,1,15,1,1,1,47,M,Graduation,Married,OK nice!
5768,1974,45783,8,45,93,51,8,26,4,11,1,43,F,1st Cycle,Married,Meh...
5769,1984,56275,14,71,220,53,5,33,1,8,1,48,F,Graduation,Together,Meh...
5770,1975,70174,17,26,294,51,1,30,3,16,1,55,F,1st Cycle,Married,Kind of OK
5771,1953,93439,34,86,1534,51,14,26,9,1,,17,F,2nd Cycle,Single,Take my money!!
5772,1967,60205,16,81,220,81,1,17,0,1,1,59,F,PhD,Together,Meh...
5773,1953,77592,15,92,253,56,1,35,1,6,1,47,M,Graduation,Married,OK nice!
5774,1957,82777,28,56,1019,71,3,21,2,3,1,31,M,Graduation,Single,OK nice!
5775,1940,125265,50,90,2527,52,3,42,0,3,0,13,F,Master,Together,Take my money!!
5776,1956,84160,8,85,117,31,28,16,12,13,1,44,M,2nd Cycle,Single,OK nice!
5777,1979,49882,10,47,42,41,5,47,7,0,1,54,M,2nd Cycle,Single,Kind of OK
5778,1979,57623,10,92,73,68,1,28,2,1,1,53,F,Graduation,Together,OK nice!
5779,1952,94004,39,73,1662,83,2,13,0,2,0,35,M,Graduation,Married,Take my money!!
5780,1987,24625,11,46,35,27,10,53,1,8,1,68,F,2nd Cycle,Divorced,Meh...
5781,1988,44591,9,24,19,46,2,46,5,2,1,56,M,Graduation,Married,OK nice!
5782,1944,102742,35,85,1658,44,10,30,9,6,0,12,M,Master,Married,Take my money!!
5783,1938,123408,29,32,1410,35,13,25,10,16,0,9,M,1st Cycle,Married,OK nice!
5784,1974,59401,15,24,220,83,2,15,0,0,1,49,F,Graduation,Married,Meh...
5785,1964,79320,18,7,434,78,2,18,1,1,1,45,M,Graduation,Together,OK nice!
5786,1969,70551,18,32,339,75,3,13,7,3,1,60,F,2nd Cycle,Together,Kind of OK
5787,1991,34595,6,38,18,35,14,25,13,13,1,49,M,Graduation,Single,Kind of OK
5788,1990,25490,8,482,11,25,24,24,17,10,1,62,M,Graduation,Single,Meh...
5789,1979,59349,6,57,33,72,4,21,2,1,1,45,M,Graduation,Married,Kind of OK
5790,1976,65189,11,66,90,55,3,32,8,1,1,58,F,Graduation,,OK nice!
5791,1978,44414,9,36,26,70,0,26,2,2,1,57,F,Master,Together,Meh...
5792,1962,72705,19,60,392,85,1,12,1,1,1,55,F,PhD,Married,Meh...
5793,1993,24477,12,49,52,13,16,38,24,8,1,61,M,2nd Cycle,Together,Meh...
5794,1977,64942,25,79,720,65,7,17,9,1,1,46,F,Graduation,Single,Meh...
5795,1983,42797,10,0,54,48,8,24,16,4,1,58,F,1st Cycle,Single,OK nice!
5796,1943,88993,31,21,1398,23,6,46,7,18,0,12,F,Graduation,Widow,Take my money!!
5797,1955,89525,28,54,1154,34,13,14,29,9,1,26,M,Graduation,Single,OK nice!
5798,1986,50825,9,46,42,71,2,24,1,2,1,66,F,PhD,Single,OK nice!
5799,1952,103168,21,72,648,76,3,17,2,2,1,37,M,PhD,Single,Meh...
5800,1985,37907,21,67,392,59,3,35,2,1,,64,M,PhD,Married,Kind of OK
5801,1958,75241,21,15,644,39,22,24,6,9,0,34,F,2nd Cycle,Together,OK nice!
5802,1987,31501,10,84,47,59,6,31,2,2,1,59,M,PhD,Together,Meh...
5803,1972,61671,7,87,91,51,1,30,9,9,1,48,M,2nd Cycle,Single,Kind of OK
5804,1938,118664,37,62,1861,39,3,47,6,5,0,13,F,Graduation,Divorced,Take my money!!
5805,1969,76677,29,64,953,89,1,9,0,1,1,46,M,Graduation,Divorced,Take my money!!
5806,1979,57431,9,96,64,67,1,31,1,0,1,52,F,Graduation,Together,OK nice!
5807,1964,68639,29,10,887,88,2,7,2,1,0,60,F,2nd Cycle,Together,OK nice!
5808,1981,43607,12,63,73,42,17,35,6,0,1,60,F,Graduation,Married,Meh...
5809,1939,95847,20,59,767,24,6,26,8,36,0,13,M,2nd Cycle,Married,OK nice!
5810,1965,79658,26,82,832,90,0,9,1,0,1,43,M,Graduation,Married,OK nice!
5811,1979,47029,9,27,49,76,1,21,2,0,1,52,F,Graduation,Married,Meh...
5812,1975,58800,13,24,184,89,1,9,1,1,1,55,F,Master,Married,Kind of OK
5813,1955,82086,37,50,1666,77,0,20,1,2,1,16,F,Graduation,Married,Take my money!!
5814,1978,47854,17,21,222,73,1,24,1,0,1,61,M,PhD,Single,Kind of OK
